filename,label,xmin,ymin,xmax,ymax
frame_000000.PNG,Sandwiches,256.09,511.34,324.74,648.42
frame_000001.PNG,Sandwiches,255.38,511.58,323.72,648.66
frame_000002.PNG,Sandwiches,254.68,511.82,322.7,648.89
frame_000003.PNG,Sandwiches,253.97,512.05,321.68,649.13
frame_000004.PNG,Sandwiches,253.26,512.29,320.66999999999996,649.37
frame_000005.PNG,Sandwiches,250.42,512.29,317.83,649.37
frame_000006.PNG,Sandwiches,250.42,517.01,317.83,654.09
frame_000007.PNG,Sandwiches,249.71,518.67,317.12,655.74
frame_000008.PNG,Sandwiches,249.0,520.32,316.40999999999997,657.4000000000001
frame_000009.PNG,Sandwiches,248.3,521.97,315.70000000000005,659.0500000000001
frame_000010.PNG,Sandwiches,247.59,523.63,314.99,660.7
frame_000011.PNG,Sandwiches,240.97,525.52,308.38,662.5899999999999
frame_000012.PNG,Sandwiches,240.97,527.41,308.38,664.48
frame_000013.PNG,Sandwiches,237.19,530.24,304.6,667.32
frame_000014.PNG,Sandwiches,236.25,531.66,303.65999999999997,668.73
frame_000015.PNG,Sandwiches,235.3,533.07,302.71000000000004,670.1500000000001
frame_000016.PNG,Sandwiches,231.52,537.8,298.93,674.88
frame_000017.PNG,Sandwiches,231.52,536.85,298.93,673.9300000000001
frame_000018.PNG,Sandwiches,229.16,537.33,296.57,674.4000000000001
frame_000019.PNG,Sandwiches,226.8,537.8,294.21000000000004,674.88
frame_000020.PNG,Sandwiches,237.44,546.6,295.65,672.75
frame_000021.PNG,Sandwiches,237.4,546.48,295.96000000000004,673.05
frame_000022.PNG,Sandwiches,237.35,546.36,296.27,673.35
frame_000023.PNG,Sandwiches,237.3,546.24,296.57,673.65
frame_000024.PNG,Sandwiches,237.26,546.12,296.88,673.95
frame_000025.PNG,Sandwiches,237.21,546.0,297.19,674.25
frame_000026.PNG,Sandwiches,237.17,545.88,297.5,674.55
frame_000027.PNG,Sandwiches,237.12,545.76,297.81,674.85
frame_000028.PNG,Sandwiches,237.07,545.64,298.11,675.15
frame_000029.PNG,Sandwiches,237.03,545.52,298.42,675.45
frame_000030.PNG,Sandwiches,236.98,545.4,298.73,675.75
frame_000031.PNG,Sandwiches,236.94,545.28,299.04,676.05
frame_000032.PNG,Sandwiches,236.89,545.16,299.34,676.3499999999999
frame_000033.PNG,Sandwiches,236.84,545.03,299.65,676.65
frame_000034.PNG,Sandwiches,236.8,544.91,299.96000000000004,676.9499999999999
frame_000035.PNG,Sandwiches,236.75,544.79,300.27,677.25
frame_000036.PNG,Sandwiches,236.71,544.67,300.58,677.55
frame_000037.PNG,Sandwiches,236.66,544.55,300.88,677.8499999999999
frame_000038.PNG,Sandwiches,236.61,544.43,301.19,678.15
frame_000039.PNG,Sandwiches,236.57,544.31,301.5,678.4499999999999
frame_000040.PNG,Sandwiches,236.52,544.19,301.81,678.75
frame_000041.PNG,Sandwiches,236.48,544.07,302.12,679.0500000000001
frame_000042.PNG,Sandwiches,236.43,543.95,302.42,679.35
frame_000043.PNG,Sandwiches,236.38,543.83,302.73,679.6500000000001
frame_000044.PNG,Sandwiches,236.34,543.71,303.04,679.95
frame_000045.PNG,Sandwiches,236.29,543.59,303.35,680.25
frame_000046.PNG,Sandwiches,236.25,543.47,303.65,680.5500000000001
frame_000047.PNG,Sandwiches,240.03,545.36,307.43,682.44
frame_000048.PNG,Sandwiches,243.81,549.14,311.21000000000004,686.22
frame_000049.PNG,Sandwiches,245.02,550.33,311.58000000000004,686.6700000000001
frame_000050.PNG,Sandwiches,246.23,551.52,311.94,687.13
frame_000051.PNG,Sandwiches,247.45,552.71,312.31,687.58
frame_000052.PNG,Sandwiches,248.66,553.9,312.67,688.04
frame_000053.PNG,Sandwiches,249.87,555.1,313.04,688.49
frame_000054.PNG,Sandwiches,251.08,556.29,313.40000000000003,688.9399999999999
frame_000055.PNG,Sandwiches,252.3,557.48,313.77,689.4
frame_000056.PNG,Sandwiches,253.51,558.67,314.13,689.8499999999999
frame_000057.PNG,Sandwiches,254.72,559.86,314.5,690.31
frame_000058.PNG,Sandwiches,255.94,561.05,314.86,690.76
frame_000059.PNG,Sandwiches,257.15,562.24,315.22999999999996,691.22
frame_000060.PNG,Sandwiches,258.36,563.44,315.59000000000003,691.6700000000001
frame_000061.PNG,Sandwiches,252.31,558.59,319.72,695.6600000000001
frame_000062.PNG,Sandwiches,255.67,561.78,320.44,691.87
frame_000063.PNG,Sandwiches,259.03,564.98,321.16999999999996,688.07
frame_000064.PNG,Sandwiches,262.39,568.17,321.89,684.28
frame_000065.PNG,Sandwiches,262.32,567.78,321.82,683.89
frame_000066.PNG,Sandwiches,262.25,567.39,321.75,683.5
frame_000067.PNG,Sandwiches,262.18,567.0,321.68,683.1
frame_000068.PNG,Sandwiches,262.11,566.61,321.61,682.71
frame_000069.PNG,Sandwiches,262.04,566.22,321.54,682.32
frame_000070.PNG,Sandwiches,261.97,565.83,321.46000000000004,681.9300000000001
frame_000071.PNG,Sandwiches,261.9,565.44,321.39,681.5400000000001
frame_000072.PNG,Sandwiches,261.83,565.04,321.32,681.15
frame_000073.PNG,Sandwiches,261.76,564.65,321.25,680.76
frame_000074.PNG,Sandwiches,261.68,564.26,321.18,680.37
frame_000078.PNG,Sandwiches,245.48,557.45,310.21,668.61
frame_000079.PNG,Sandwiches,243.64,555.61,308.37,666.76
frame_000080.PNG,Sandwiches,241.8,553.77,306.52,664.92
frame_000081.PNG,Sandwiches,239.95,551.92,304.68,663.0799999999999
frame_000082.PNG,Sandwiches,239.4,551.92,304.13,663.0799999999999
frame_000083.PNG,Sandwiches,236.63,549.71,301.36,660.86
frame_000084.PNG,Sandwiches,233.87,547.5,298.6,658.65
frame_000085.PNG,Sandwiches,227.23,549.16,291.96,660.31
frame_000086.PNG,Sandwiches,230.55,548.05,295.28000000000003,659.1999999999999
frame_000087.PNG,Sandwiches,228.62,547.22,293.35,658.37
frame_000088.PNG,Sandwiches,226.68,546.39,291.41,657.54
frame_000089.PNG,Sandwiches,223.36,546.39,288.09000000000003,657.54
frame_000090.PNG,Sandwiches,230.17,548.16,284.27,659.3199999999999
frame_000091.PNG,Sandwiches,228.27,549.42,285.91,660.5699999999999
frame_000092.PNG,Sandwiches,226.37,550.67,287.55,661.8199999999999
frame_000093.PNG,Sandwiches,224.47,551.92,289.2,663.0699999999999
frame_000094.PNG,Sandwiches,225.57,555.24,290.3,666.39
frame_000095.PNG,Sandwiches,225.57,559.11,290.3,670.26
frame_000096.PNG,Sandwiches,222.26,560.77,286.99,671.92
frame_000097.PNG,Sandwiches,222.26,567.95,286.99,679.11
frame_000098.PNG,Sandwiches,225.02,567.95,289.75,679.11
frame_000099.PNG,Sandwiches,226.13,571.83,290.86,682.98
frame_000100.PNG,Sandwiches,227.99,575.18,290.61,686.3399999999999
frame_000101.PNG,Sandwiches,229.84,578.54,290.37,689.6899999999999
frame_000102.PNG,Sandwiches,231.7,581.9,290.13,693.05
frame_000103.PNG,Sandwiches,232.8,584.11,291.23,695.26
frame_000104.PNG,Sandwiches,233.91,586.32,292.34,697.47
frame_000105.PNG,Sandwiches,233.36,587.24,291.79,698.4
frame_000106.PNG,Sandwiches,232.8,588.16,291.23,699.3199999999999
frame_000107.PNG,Sandwiches,232.25,589.09,290.68,700.24
frame_000108.PNG,Sandwiches,231.7,590.19,290.13,701.35
